"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","isr","Israel",0,1,0,17
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","usa","United States",0,1,0,9
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and python","DESKTOP","ken","Kenya",0,1,0,35
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","gbr","United Kingdom",0,1,0,42
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","cze","Czech Republic",0,1,0,49
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","swe","Sweden",0,1,0,8
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","chn","China",0,1,0,46
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","usa","United States",0,2,0,10
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,33
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","chn","China",0,2,0,21
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","egy","Egypt",0,1,0,32
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","usa","United States",0,1,0,20
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda cloud","DESKTOP","usa","United States",0,1,0,41
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","ita","Italy",0,1,0,35
2017-03-02,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,52
2017-03-08,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,52
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda packages","DESKTOP","chn","China",0,1,0,32
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator download","DESKTOP","usa","United States",0,1,0,33
2017-03-05,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","rus","Russian Federation",0,1,0,54
2017-03-05,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","zzz","Unknown Region",0,1,0,54
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","conda vs miniconda","DESKTOP","rus","Russian Federation",0,1,0,34
